,Project Name,Region,Sector,Current Status,Implementing Agency,Project URL,Project Description,Project Cost,Procurement Mode,PPP Structure,Private Proponent,Status,Cooperation Period,,Indicative Cost,Private Proponen,Private Propoent,Original Proponent,Project Proponent,Private Proponent(s),https://www.dpwh.gov.ph/dpwh/PPP/projs/tr4,Private Proponents,Other Implementing Agencies website URL,Concession Period,Private Proponent:,DOTr Website,Implemention Mode
133,Ilijan Natural Gas Combined Cycle Power Plant (1200 MW Natural Gas Combined Cycle Power Project),REGION IV-A - CALABARZON,Power,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/ilijan-natural-gas-combined-cycle-power-plant/,,US$ 960.00 Million,Solicited,Build-Operate-and-Transfer (BOT),,Operational,20 Years,,,,,,,,,KEPCO Ilijan Corporation;  Korea Electric Power Corporation,,,,,
134,New San Fernando Slaughterhouse Project,REGION III - CENTRAL LUZON,Agriculture/Food Security,"Operational,Awarded",Local Government of San Fernando City (Pampanga),https://ppp.gov.ph/ppp_projects/new-san-fernando-slaughterhouse-project/,,PHp 15 Million,Unsolicited,Build-Operate-Transfer (BOT),Philippine Abattoir Development Corporation (PADC),Operational,25 years,,,,,,,,,,,,,,
135,Database Infrastructure and Information Technology System,REGION I - ILOCOSREGION II - CAGAYAN VALLEYREGION III - CENTRAL LUZONREGION IV-A - CALABARZONREGION IV-B - MIMAROPAREGION V - BICOLREGION VI - WESTERN VISAYASREGION VII - CENTRAL VISAYASREGION VIII - EASTERN VISAYASREGION IX - ZAMBOANGA PENINSULAREGION X - NORTHERN MINDANAOREGION XI - DAVAOREGION XII - SOCCSKSARGENREGION XIII - CARAGAARMM REGION - AUTONOMOUS REGION IN MUSLIM MINDANAOCAR REGION - CORDILLERA ADMINISTRATIVE REGIONNATIONAL CAPITAL REGION,Information Technology,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/database-infrastructure-and-information-technology-system/,,USD 75.00 Million,Solicited,Build-Own-Operate (BOO),STRADCOM Corporation,Concluded,10 years,,,,,,,,,,,,,,
136,Pabahay sa Riles Project,NATIONAL CAPITAL REGION,Property Development,Awarded,,https://ppp.gov.ph/ppp_projects/pabahay-sa-riles-project/,,PHP 400.00 Million,Solicited,Joint Venture,"San Jose Builders, Inc.",For verification,5 years,,,,,,,,,,,,,,
137,Legazpi City Grand Terminal Project,REGION V - BICOL,Transport Terminal,"Operational,Awarded",Local Government of Legazpi City (Albay),https://ppp.gov.ph/ppp_projects/legazpi-city-grand-terminal-project/,,PhP 1.38 Billion,Solicited,Build-Lease-Transfer (BLT),Lee King Yek (LKY) Development Corporation,Operational,25 Years (2009-2040),,,,,,,,,,,,,,
138,Manila-Cavite Toll Expressway (including C5 South Link Expressway Project),REGION IV-A - CALABARZONNATIONAL CAPITAL REGION,Road,"Operational,Awarded",Toll Regulatory Board (TRB) and Philippine Reclamation Authority (PRA),https://ppp.gov.ph/ppp_projects/manila-cavite-toll-expressway-cavitex/,,Php 6.55 Billion,Unsolicited,Toll Operation Agreement,Cavitex Infrastructure Corporation (CIC); Public Estates Authority; UEM - MARA Philippines Corporation/Coastal Road Corporation,,35 Years (1998 - 2033),,,,,,,,,,,,,,
139,Malaya Thermal Power Plant 1 & 2 Project,REGION IV-A - CALABARZON,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/malaya-thermal-power-plant-1-2-project/,,USD 250.00 Million,Solicited,Rehabilitate-Operate-Maintain and Manage (ROMM),"KEPCO, Philippines Corporation – KEPCO  Korea Electric Power Corp. (KEPCO)",Completed,15 Years,,,,,,,,,,,,,,
140,Mindanao II Geothermal Plant,REGION XII - SOCCSKSARGEN,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/mindanao-ii-geothermal-plant/,,USD 72.31 Million,Solicited,Build-Operate-Transfer (BOT),Mindanao II Geothermal Partnership,Concluded,10 years,,,,,,,,,,,,,,
141,Mindanao Coal-Fired Thermal Power Plant,REGION X - NORTHERN MINDANAO,Power,"Operational,Awarded",National Power Corporation,https://ppp.gov.ph/ppp_projects/mindanao-coal-fired-thermal-power-plant/,,USD 310.00 Million,Solicited,Build-Operate-and-Transfer (BOT),"State Power Development Corporation  (State Investment Trust, Inc. and Harbin Power Engineering Company, Ltd.)",Operational,25 years,,,,,,,,,,,,,,
142,Limay Bataan Combined Cycle Gas Turbine Power Plant (GTTP) Block B Project,REGION III - CENTRAL LUZON,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/limay-bataan-combine-cycle-gas-turbine-power-plant-gttp-block-b-project/,,USD 350.00 Million,Solicited,Build-Transfer-and-Operate (BTO),"Consortium of: ABB Power Generation Ltd.,; Switzerland Marubeni Corp.;  KAWASAKI Heavy Industries, Ltd.; Marubeni Corporation",Concluded,15 Years,,,,,,,,,,,,,,
143,Tarlac-Pangasinan-La Union Expressway (TPLEX) Project,REGION I - ILOCOSREGION III - CENTRAL LUZON,Road,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/tarlac-pangasinan-la-union-expressway-tplex-project/,,"Php 24,415.19 Billion (USD 358 Million)",Solicited,Build-Transfer-and-Operate (BTO),Private Infra Development Corporation (PIDC),"Operational.  Sections 1, 2, and 3 are substantially completed and operational as of July 30, 2020",35 years (2008-2043),,,,,,,,,,,,,,
144,Casecnan Multi-Purpose Irrigation and Power Project,REGION II - CAGAYAN VALLEY,Water,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/casecnan-multi-purpose-irrigation-and-power-project/,,USD 675M,Unsolicited,Build-Operate and Transfer (BOT),"CE Casecnan Water and Energy Company, Inc. (CalEnergy)",Operational,20 Years (2001-2021),,,,,,,,,,,,,,
145,General Santos 50 MW Bunker C-Fired Diesel Power Plant,REGION XII - SOCCSKSARGEN,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/general-santos-50-mw-bunker-c-fired-diesel-power-plant/,,USD 60.00 Million,Solicited,Build-Own-Operate (BOO),Southern Philippines Power Corporation,Concluded,18 Years,,,,,,,,,,,,,,
146,Malabon Digital Infrastructure Project,NATIONAL CAPITAL REGION,Information Technology,"Completed/Concluded,Awarded",Local Government of Malabon City,https://ppp.gov.ph/ppp_projects/malabon-digital-infrastructure-project/,,USD 0.46M,Unsolicited,Build-Transfer-and-Operate (BTO),"Geodata Systems, Inc.",Concluded,2 Years (2005 - 2007),,,,,,,,,,,,,,
147,Iligan City Diesel Plant I (58 MW Bunker-Fired Diesel Generating Power Station),REGION X - NORTHERN MINDANAO,Energy,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/58mw-iligan-city-diesel-plant-1-project/,,USD 60.00 Million,Solicited,Build-Operate-Transfer (BOT),,Concluded,10 years,,,,,,,Northern Mindanao Power Corporation,,,,,,,
148,Redevelopment of the Port of Irene,REGION II - CAGAYAN VALLEY,"Transportation,Port","Under Pre-Construction,Awarded",Cagayan Economic Zone Authority (CEZA),https://ppp.gov.ph/ppp_projects/redevelopment-of-port-irene/,,Php 3.941 Billion  (USD 84 Million),Unsolicited,Build-Operate and Transfer (BOT),"Asia Pacific  International Terminals, Incorporated",Pre-construction,25 years (2000-2025),,,,,,,,,,,,,,
149,Dapitan Public Market,NATIONAL CAPITAL REGION,Agriculture/Food Security,"Operational,Awarded",Local Government of Quezon City,https://ppp.gov.ph/ppp_projects/dapitan-public-market/,,Php 37.20 Million,Unsolicited,Build-Operate-and-Transfer (BOT),Ithiel Corporation,Operational,50 Years  (2004-2054),,,,,,,,,,,,,,
150,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Expansion, Improvement, Operation and Maintenance of the Water Supply System of the Daraga Water District",REGION V - BICOL,Water & Sanitation,"Operational,Awarded",Daraga Water District,https://ppp.gov.ph/ppp_projects/daraga-water-district-joint-venture-project/,,Php 1050.16 Million,Unsolicited,Joint Venture,Prime Water Infrastructure Corp.,Operational,25 Years,,,,,,,,,,,,,,
151,Leyte-Luzon (Malitbog) Geothermal Power Plant,REGION VIII - EASTERN VISAYAS,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/leyte-luzon-malitbog-geothermal-power-plant/,,USD 630.45 Million,Solicited,Build-Operate-Transfer (BOT) ; Energy Conversion Agreement (ECA),Ormat Inc. (USA),Concluded,10 years,,,,,,,,,,,,,,
152,Cebu-Cordova Toll Bridge Project (Cebu-Cordova Link Expressway),REGION VII - CENTRAL VISAYAS,Road,"Under Construction,Awarded",Local Governments of Cebu City and Municipality of Cordova,https://ppp.gov.ph/ppp_projects/cebu-cordova-link-expressway-cclex/,,Php 27.9 Billion,Unsolicited,Joint Venture Agreement (JVA),Cebu-Cordova Link Expressway Corp. (CCLEC),"As of September 30, 2021, the construction progress of CCLEX project is 85.38% complete.",35 years (2015-2050),,,,,,,,,,,,,,
153,Mindanao Diesel Power Barges Project,REGION XI - DAVAOREGION XIII - CARAGA,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/mindanao-diesel-power-barges-project/,,PhP 15 Million,Solicited,Build-Transfer-and-Operate (BTO),"MITSUI Engineering & Shipbuilding, Ltd. (MES);  Burmeister & Wain Scandinavian Contractor (BWSC)",Concluded,16 Years,,,,,,,,,,,,,,
154,Angeles City Government Operations–Information Management System Project,REGION III - CENTRAL LUZON,Information Technology,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/angeles-city-government-operations-information-management-system-project/,,Php 39.81 Million,Solicited,Build-Lease-Transfer (BLT),"Consortium of Pilgon System Solution, Inc. and Geodata Systems Technologies, Inc.",Concluded,3 years,,,,,,,,,,,,,,
155,Navotas Gas Turbine 4 Project,NATIONAL CAPITAL REGION,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/navotas-gas-turbine-4-project/,,USD 40.00 Million,Solicited,Build-Operate-Transfer (BOT),Hopewell Tileman (Philippines Corp),Concluded,12 years,,,,,,,,,,,,,,
156,Jaen Water District Joint Venture,REGION III - CENTRAL LUZON,Water,"Operational,Awarded",Jaen Water District (JWD),https://ppp.gov.ph/ppp_projects/financing-development-rehabilitation-expansion-improvement-operation-and-maintenance-of-the-water-supply-and-septage-management-system-of-jaen-water-district/,,Php 1065.64 Million,Unsolicited,Joint Venture Agreement (JVA),Prime Water Infrastructure Corp.,Operational,25 Years,,,,,,,,,,,,,,
157,Joint Venture Project on Bulk Water Supply (JV1)170 MLD Bulk Water Supply Project,REGION VI - WESTERN VISAYAS,Water & Sanitation,"Operational,Awarded",Metro Iloilo Water District (MIWD),https://ppp.gov.ph/ppp_projects/joint-venture-project-on-bulk-water-supply-jv1/,,Php 2.8 Billion,Unsolicited,Joint Venture,MetroPac Water Investments Corporation (MWIC),Under Construction,25 years,,,,,,,,,,,,,,
158,"Toledo, Cebu Coal Thermal Power Project",REGION VII - CENTRAL VISAYAS,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/toledo-cebu-coal-thermal-power-project/,,USD 35.00 Million,Solicited,Power and Fuel Supply Agreement,Atlas Consolidated Mining and Development Corporation,Concluded,10 years,,,,,,,,,,,,,,
159,Marulas Public Market,NATIONAL CAPITAL REGION,Agriculture/Food Security,"Operational,Awarded",Local Government of Valenzuela City,https://ppp.gov.ph/ppp_projects/marulas-public-market/,,Php 85 Million,Solicited,Joint Venture,"Megabuild JPG Development, Inc.",Operational,25 Years (2015-2040),,,,,,,,,,,,,,
160,Calaca Batangas Diesel Power Barges,REGION IV-A - CALABARZON,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/calaca-batangas-diesel-power-barges/,,USD 78.00 Million,Solicited,Build-Own-Operate (BOO),Polar Energy Inc.,Concluded,5 years,,,,,,,,,,,,,,
161,Limay Bataan Combine Cycle Gas Turbine Power Plant Block A Project,REGION III - CENTRAL LUZON,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/limay-bataan-combine-cycle-gas-turbine-power-plant-block-a-project/,,USD 298.00 Million,Solicited,Build-Transfer-Operate (BTO),"ABB Power Generation LTD., Switzerland",Concluded,15 Years,,,,,,,,,,,,,,
162,Pampanga Geographic Information System,REGION III - CENTRAL LUZON,Information Technology,"Completed/Concluded,Awarded",Provincial Government of Pampanga,https://ppp.gov.ph/ppp_projects/pampanga-gis-center-project/,,Php 49.99 Million,Unsolicited,Build-Transfer-and-Operate (BTO),"Geodata Solutions, Inc.",Terminated,1 year,,,,,,,,,,,,,,
163,Bauang La Union Diesel Power Plant,REGION I - ILOCOS,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/bauang-la-union-diesel-power-plant/,,USD 200.00 Million,Solicited,Build-Operate-Transfer (BOT,First Private Power Corporation (FPPC); Bauang Private Power Corporation (BPPC),Concluded,15 Years,,,,,,,,,,,,,,
164,MWSS Privatization Project (West),NATIONAL CAPITAL REGION,Water and Sanitation,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/mwss-privatization-project/,,-,Solicited,Concession Agreement (RA 8041-National Water Crisis Act of 1995),"Maynilad Water Services, Inc - Service Area West  (formerly Benpres-Lyonnaise Waterworks, Inc.)",Operational. New concession agreement entered into with Maynilad in 2021.,40 years (1997 - 2037),,,,,,,,,,,,,,
165,Navotas Gas Turbine 1-3 Project,NATIONAL CAPITAL REGION,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/navotas-gas-turbine-1-3-project/,,USD 40 Million,Solicited,Build-Operate-Transfer (BOT),Hopewell Energy (Philippines) Corporation,Concluded,10 years,,,,,,,,,,,,,,
166,Metro Manila Skyway Stage 1 & 2 Project,NATIONAL CAPITAL REGION,Road,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/metro-manila-skyway-stage-1-and-2/,,Php 36.170 Billion,Solicited,Joint Venture Agreement (JVA),Citra Metro Manila Tollways Corporation,Operational,30 Years,,,,,,,,,,,,,,
167,Cagayan North International Airport Project (Lal-lo Airport Project),REGION II - CAGAYAN VALLEY,"Transportation,Airport","Operational,Awarded",Cagayan Economic Zone Authority (CEZA),https://ppp.gov.ph/ppp_projects/lal-lo-airport-project/,,Php 1.657 Billion,Unsolicited,Joint-Venture Agreement (JVA),Cagayan Land Property Development Corporation,Operational,50 Years (2009-2059),,,,,,,,,,,,,,
168,Alien Certificate of Registration Identity (ACR-I) Card Project,REGION I - ILOCOSREGION II - CAGAYAN VALLEYREGION III - CENTRAL LUZONREGION IV-A - CALABARZONREGION IV-B - MIMAROPAREGION V - BICOLREGION VI - WESTERN VISAYASREGION VII - CENTRAL VISAYASREGION VIII - EASTERN VISAYASREGION IX - ZAMBOANGA PENINSULAREGION X - NORTHERN MINDANAOREGION XI - DAVAOREGION XII - SOCCSKSARGENREGION XIII - CARAGAARMM REGION - AUTONOMOUS REGION IN MUSLIM MINDANAOCAR REGION - CORDILLERA ADMINISTRATIVE REGIONNATIONAL CAPITAL REGION,Information Technology,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/acr-i-card-project/,,Php 135.60 Million,Unsolicited,Build-Operate and Transfer (BOT),DataTrail Corporation and Digiline Inc.,Operational,21 years,,,,,,,,,,,,,,
169,Makban Binary Geothermal Plant,REGION IV-A - CALABARZON,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/makban-binary-geothermal-plant/,,USD 33.00 Million,Solicited,Build-Operate-Transfer (BOT),Ormat Inc.,Concluded,10 years,,,,,,,,,,,,,,
170,San Roque Multi-purpose Hydroelectric Powerplant,REGION I - ILOCOS,Power,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/san-roque-multipurpose-project/,,"USD 1,141.00 Million",Solicited,Build-Transfer-and-Operate (BTO),San Roque Power Corporation,Operational,25 years,,,,,,,,,,,,,,
171,North Harbor Diesel Power Barges Project,NATIONAL CAPITAL REGION,Power,Completed/Concluded,,https://ppp.gov.ph/ppp_projects/north-harbor-diesel-power-barges-project/,,USD 78.00 Million,Solicited,Build-Own-Operate (BOO),Far East Levingston Shipbuilding Ltd.,Concluded,5 years,,,,,,,,,,,,,,
172,Civil Registry System Information Technology Project Phase 1,,Information Technology,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/civil-registry-system-information-technology-project-phase-1/,,Php 3.25 Billion,Solicited,Build-Transfer-and-Operate (BTO),"Unisys Australia, Limited (Philippine Branch)",Concluded,12 Years (1999-2011),,,,,,,,,,,,,,
173,Land Titling Computerization Project (LTCP),REGION I - ILOCOSREGION II - CAGAYAN VALLEYREGION III - CENTRAL LUZONREGION IV-A - CALABARZONREGION IV-B - MIMAROPAREGION V - BICOLREGION VI - WESTERN VISAYASREGION VII - CENTRAL VISAYASREGION VIII - EASTERN VISAYASREGION IX - ZAMBOANGA PENINSULAREGION X - NORTHERN MINDANAOREGION XI - DAVAOREGION XII - SOCCSKSARGENREGION XIII - CARAGAARMM REGION - AUTONOMOUS REGION IN MUSLIM MINDANAOCAR REGION - CORDILLERA ADMINISTRATIVE REGIONNATIONAL CAPITAL REGION,Information Technology,"Operational,Awarded",Land Registration Authority (LRA),https://ppp.gov.ph/ppp_projects/land-titling-computerization-project-ltcp/,,Php 3.48 Billion,Solicited,Build-Own-Operate (BOO),Land Registration Systems (LARES) Inc.,Operational,10 years,,,,,,,,,,,,,,
174,Cauayan Mega Market,REGION II - CAGAYAN VALLEY,Agriculture/Food Security,"Under Pre-Construction,Awarded",Local Government of Cauayan City,https://ppp.gov.ph/ppp_projects/cauayan-mega-market/,,Php 300.00M,Unsolicited,Build-Own-Operate,Ropali Realty Management and Development Corporation (RRMDC),Pre-construction,25 years,,,,,,,,,,,,,,
175,Rehabilitation and Operation of the Cabanatuan City Slaughterhouse Project,REGION III - CENTRAL LUZON,Agriculture/Food Security,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/rehabilitation-and-operation-of-the-cabanatuan-city-slaughterhouse-project/,,PHP 34.33 Million,Solicited,Rehabilitate-Operate-Transfer (ROT),,Operational,30 years,,,,,,Capital V for Ventures,,,,,,,,
176,Butuan City Slaughterhouse Project,REGION XIII - CARAGA,Agriculture/Food Security,"Operational,Awarded",Local Government of Butuan City,https://ppp.gov.ph/ppp_projects/butuan-city-slaughterhouse-project/,,,Unsolicited,Rehabilitate-Operate-Maintain-Manage (ROMM),"De Oro Ajecc, Inc.",Operational,25 years,,,,,,,,,,,,,,
177,Talisay City Hall Building Project,REGION VI - WESTERN VISAYAS,Property Development,"Completed/Concluded,Awarded",City Government of Talisay (Negros Occidental),https://ppp.gov.ph/ppp_projects/talisay-city-hall-building-project/,,PHP 155.95 Million,Unsolicited,Build-Transfer (BT),"Consortium of: Sigma Construction and Supply F.L. Jurilla & Associates Principal Management Group, Inc (PMGI)",Concluded,1 year,,,,,,,,,,,,,,
178,Tanauan City Public Market Redevelopment Project,REGION IV-A - CALABARZON,Agriculture/Food Security,"Operational,Awarded",Local Government of Tanauan City (Batangas),https://ppp.gov.ph/ppp_projects/tanauan-public-market/,,-,Solicited,Design-Build-Transfer-Operate (DBTO),,Operational,25 Years (2016-2041),,,,,,Guru Property Development and Management Corporation,,,,,,,,
179,"Bunker-Fired Diesel Generator Power Station Project (Pinamucan, Batangas Diesel Power Plant)",REGION IV-A - CALABARZON,Power,"Completed/Concluded,Awarded",National Power Corporation (NPC),https://ppp.gov.ph/ppp_projects/bunker-fired-diesel-generator-power-station-project-pinamucan-batangas-diesel-power-plant/,,USD 120.00 Million,Unsolicited,Build-Operate-Transfer (BOT),Enron Power Development Corporation,Concluded,10 years,,,,,,,,,,,,,,
180,Engineering Island Power Barge Project,NATIONAL CAPITAL REGION,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/engineering-island-power-barge-project/,,Php 1.127 Billion (USD 30.00 Million),Solicited,Build-Own-Operate (BOO),Sabah Shipyard SDN. BHD (Malaysia),Concluded,5 years,,,,,,,,,,,,,,
181,Cavite EPZA Diesel Plant Project,REGION IV-A - CALABARZON,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/cavite-epza-diesel-plant-project/,,USD 22.00 Million,Solicited,Build-Operate-Transfer (BOT),"Magellan Cogeneration, Inc. (Philippines)",Concluded,10 years,,,,,,,,,,,,,,
182,Subic Water and Sewerage Project,REGION III - CENTRAL LUZON,Water,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/subic-water-and-sewerage-project/,,USD 120 Million,Solicited,Joint Venture (JV) Agreement,Subic Bay Water and Sewerage Company Inc.,Operational,25 years (1997 - 2022),,,,,,,,,,,,,,
183,"Subic, Zambales Diesel Power Plant II Project",REGION III - CENTRAL LUZON,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/subic-zambales-diesel-power-plant-ii-project/,,USD 120.00 Million,Solicited,Build-Operate-Transfer (BOT),Subic Bay Power Corporation,Concluded,15 years,,,,,,,,,,,,,,
184,Bakun A/B and C Hydroelectric Power Plant,CAR REGION - CORDILLERA ADMINISTRATIVE REGION,Power,"Operational,Awarded",National Power Corporation (NPC),https://ppp.gov.ph/ppp_projects/bakun-a-b-and-c-hydroelectric-power-plant/,,US$ 83.00 Million,Solicited,Build-Operate-Transfer (BOT,Luzon Hydro Corporation,Operational,25 years,,,,,,,,,,,,,,
185,Mandaluyong Marketplace,NATIONAL CAPITAL REGION,Agriculture/Food Security,"Operational,Awarded",Local Government of Mandaluyong City,https://ppp.gov.ph/ppp_projects/mandaluyong-marketplace/,,US$ 23.00 Million,Solicited,Build-Operate-and-Transfer (BOT) and Build-Transfer (BT),Macro Funders and Development Corporation,Operational,40 Years (1994-2034),,,,,,,,,,,,,,
186,Pagbilao Coal-Fired Power Plant Project,REGION IV-A - CALABARZON,Power,"Operational,Awarded",National Power Corporation (NPC),https://ppp.gov.ph/ppp_projects/pagbilao-coal-fired-power-plant-project/,,USD 888.00M,Unsolicited,Build-Operate-Transfer (BOT),"Marubeni Corp., Tokyo Electric Power Corp. & TeaM Energy",Operational,30 Years,,,,,,,,,,,,,,
187,Puerto Galera Sewerage and Wastewater Treatment Plant Project,,Water & Sanitation,"Under Pre-Construction,Awarded",Local Government of Puerto Galera (Mindoro Oriental),https://ppp.gov.ph/ppp_projects/puerto-galera-sewerage-and-wastewater-treatment-plant-project/,,-,,,,Under Pre-Construction,,,,,,,"JL Business & Technology Consultancy, Inc.",,,,,25 Years,,,
188,"Subic, Zambales Diesel Power Plant I Project",REGION III - CENTRAL LUZON,Power,"Completed/Concluded,Awarded",National Power Corporation (NPC),https://ppp.gov.ph/ppp_projects/subic-zambales-diesel-power-plant-i-project/,,-,-,-,Enron Power Corporation (Enron I),Concluded,,,,,,,,,,,,,,,
189,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Improvement, Expansion, Operation and Maintenance of the Water Supply System of Tarlac City.",REGION III - CENTRAL LUZON,Water & Sanitation,"Operational,Awarded",Tarlac City Water District,https://ppp.gov.ph/ppp_projects/water-supply-system-tarlac-city/,,For validation of project cost,Unsolicited,Joint Venture,,Operational,25 Years,,,,,,,,,,,,Prime Water Infrastructure Corporation,,
190,Light Rail Transit Line No. 3 (MRT 3),NATIONAL CAPITAL REGION,"Transportation,Rail","Operational,Awarded",,https://ppp.gov.ph/ppp_projects/light-rail-transit-line-no-3-mrt-3/,,US$ 655.00 Million,Solicited,Build-Lease-Transfer,Metro Rail Transit Corporation Limited,Operational,25 years,,,,,,,,,,,,,,
191,Bataan EPZA Diesel Plant,REGION III - CENTRAL LUZON,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/bataan-epza-diesel-plant/,,USD 31.00 Million,Solicited,Build-Operate-Transfer (BOT),"Edison Global Electric, Ltd.",Concluded,10 years,,,,,,,,,,,,,,
192,Clark Air Base Diesel Plant,REGION III - CENTRAL LUZON,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/clark-air-base-diesel-plant/,,USD 4.50 Million,Solicited,Rehabilitate-Operate-Maintain (ROM),"Electrobus Consolidated, Inc.",Concluded,7 Years,,,,,,,,,,,,,,
193,"Manila-North Expressway (NLEX) Project including NLEX North Harbor Link (Segments 8.1, 8.2, 9, and 10)",REGION III - CENTRAL LUZONNATIONAL CAPITAL REGION,Road,"Operational,Awarded",Philippine National Construction Corporation (PNCC) and Toll Regulatory Board (TRB),https://ppp.gov.ph/ppp_projects/manila-north-luzon-tollway-nlex/,,Php 26.020 Billion (NLEX North Harbor Link only),Unsolicited,Supplemental Toll Operation Agreement,First Philippine Infrastructure Development Corporation (FPIDC); Manila North Tollways Corporation (MNTC),Phase 1,30 years,,,,,,,,,,,,,,
194,"Rehabilitation of Municipal Slaughterhouse, Operation and Maintenance of the Whole Kalibo Meat Plant",REGION VI - WESTERN VISAYAS,Property Development,"Under Construction,Awarded",Local Government of Kalibo (Aklan),https://ppp.gov.ph/ppp_projects/kalibo-meat-plant/,,,Unsolicited,Joint Venture,"Philippine Slaughterhouse Management and Operations, Inc.",Under construction,28 years,,Php 30 Million,,,,,,,,,,,,
195,50 year Integrated Development Plan for Mactan Cebu International Airport (MCIA) Project,,"Transportation,Airport",For Approval of Relevant Government Bodies,Mactan Cebu International Airport Authority (MCIAA),https://ppp.gov.ph/ppp_projects/50-year-integrated-development-plan-for-mactan-cebu-international-airport-mcia-project/,,,,,,For approval of relevant government bodies,,,Php 199.41 Billion,,,,GMR-Megawide Consortium,,,,,,,,
196,MRT-11 Project,NATIONAL CAPITAL REGION,"Transportation,Rail",For Approval of Relevant Government Bodies,Department of Transportation,https://ppp.gov.ph/ppp_projects/mrt-11-project/,,,Unsolicited,,,For approval of relevant government bodies,,,Php 81.79 Billion,,,,"Aerorail Integrated Transport Services, Inc.",,,,,,,,
197,"Operations, Maintenance and Facility Upgrade of the Kalibo International Airport",REGION VI - WESTERN VISAYAS,"Transportation,Airport",For Approval of Relevant Government Bodies,,https://ppp.gov.ph/ppp_projects/om-and-facility-upgrade-of-kalibo-international-airport/,,,Unsolicited,,,For approval of relevant government bodies,,,Php 3.84 Billion,,,,Mega 7 Construction,,,,,,,,
198,"Davao International Airport Development, Operation, and Management",REGION XI - DAVAO,"Transportation,Airport",For Approval of Relevant Government Bodies,Civil Aviation Authority of the Philippines (CAAP),https://ppp.gov.ph/ppp_projects/davao-international-airport-development-operation-and-management/,,,Unsolicited,TBD,,For approval of relevant government bodies,,,Php 50.75 Billion,,,,Chelsea Logistics Holdings Corp,,,,,,,,
199,Cavite-Tagaytay-Batangas Expressway Project,REGION IV-A - CALABARZON,Road,For Approval of Relevant Government Bodies,Department of Public Works and Highways (DPWH),https://ppp.gov.ph/ppp_projects/cavite-tagaytay-batangas-expressway-project/,,,Unsolicited,,MPCALA Holdings Incorporated and Metro Pacific Tollways Corporation (MPTC),For approval of relevant government bodies,,,Php 25.18 Billion,,,,,,,,,,,,
200,Davao People Mover,REGION XI - DAVAO,"Transportation,Port",For Approval of Relevant Government Bodies,Department of Transportation (DOTr),https://ppp.gov.ph/ppp_projects/davao-people-mover/,,,Unsolicited,,Udenna Corporation,For approval of relevant government bodies,,,Php 41.77 Billion,,,,,,,,,,,,
201,Preservation and Development of Laguna de Bay Project,REGION IV-A - CALABARZONNATIONAL CAPITAL REGION,Property Development,For Approval of Relevant Government Bodies,Laguna Lake Development Authority (LLDA),https://ppp.gov.ph/ppp_projects/preservation-and-development-of-laguna-de-bay-project/,,,Unsolicited,,San Miguel Holdings Corp (SMHC) and Muhibbah Engineering Philippines Corp (MEPC),For approval of relevant government bodies,40 years,,Php 124.83 Billion,,,,,,,,,,,,
